ID	Metadata	Apiary
APM01	FOP	A
APM02	FOP	A
APM03	FOP	A
APM04	FOP	A
APM05	FOP	A
APM06	FOP	A
APM07	FOR	A
APM08	FOR	A
APM09	FOR	A
APM10	FOR	A
APM11	NUR	A
APM12	NUR	A
APM13	NUR	A
APM14	NUR	A
APM16	FOP	B
APM17	FOP	B
APM18	FOP	B
APM19	FOP	B
APM20	FOP	B
APM21	FOR	B
APM22	FOR	B
APM23	FOR	B
APM24	FOR	B
APM25	FOR	B
APM26	NUR	B
APM27	NUR	B
APM28	NUR	B
APM29	NUR	B
APM30	NUR	B
APM31	FOP	C
APM32	FOP	C
APM33	FOP	C
APM34	FOP	C
APM35	FOP	C
APM36	FOR	C
APM37	FOR	C
APM38	FOR	C
APM39	FOR	C
APM40	FOR	C
APM41	NUR	C
APM42	NUR	C
APM43	NUR	C
APM44	NUR	C
APM45	NUR	C
APM46	FOP	D
APM47	FOP	D
APM48	FOP	D
APM49	FOP	D
APM50	FOP	D
APM51	FOR	D
APM52	FOR	D
APM53	FOR	D
APM54	FOR	D
APM55	FOR	D
APM56	NUR	D
APM57	NUR	D
APM58	NUR	D
APM59	NUR	D
APM60	NUR	D
APM61	FOP	E
APM62	FOP	E
APM63	FOP	E
APM64	FOP	E
APM65	FOP	E
APM66	FOR	E
APM67	FOR	E
APM68	FOR	E
APM69	FOR	E
APM70	FOR	E
APM71	NUR	E
APM72	NUR	E
APM73	NUR	E
APM74	NUR	E
APM75	NUR	E
